DAL,1,home,SunE,0
DAL,1,home,SunL,0
DAL,1,home,SunN,0
DAL,1,home,MonN1,0
DAL,1,home,MonN2,0
NYG,1,home,SunN,1
NYG,1,home,MonN1,1
NYG,1,home,MonN2,1
PHI,1,home,ThurN,0
PHI,1,home,SunE,0
PHI,1,home,SunL,0
PHI,1,home,SunN,0
PHI,1,home,MonN1,0
PHI,1,home,MonN2,0
TB,1,away,ThurN,1
TB,1,away,SunE,1
TB,1,away,SunL,1
TB,1,away,SunN,1
TB,1,away,MonN1,1
TB,1,away,MonN2,1
STL,1,home,MonN1,0
STL,1,home,MonN2,0
SEA,1,home,SunE,0
SEA,1,home,SunL,0
SEA,1,home,SunN,0
MIA,1,home,ThurN,0
MIA,1,home,SunE,0
MIA,1,home,SunL,0
MIA,1,home,SunN,0
MIA,1,home,MonN1,0
MIA,1,home,MonN2,0
NE,1,home,SunE,0
NE,1,home,SunL,0
NE,1,home,SunN,0
NYJ,1,home,SunN,1
NYJ,1,home,MonN1,1
NYJ,1,home,MonN2,1
BAL,1,home,SunE,0
BAL,1,home,SunL,0
BAL,1,home,SunN,0
BAL,1,home,MonN1,0
BAL,1,home,MonN2,0
CIN,1,home,ThurN,0
CIN,1,home,SunE,0
CIN,1,home,SunL,0
CIN,1,home,SunN,0
CIN,1,home,MonN1,0
CIN,1,home,MonN2,0
CLE,1,home,SunE,0
CLE,1,home,SunL,0
CLE,1,home,SunN,0
PIT,1,home,ThurN,0
PIT,1,home,SunE,0
PIT,1,home,SunL,0
PIT,1,home,SunN,0
DAL,2,home,ThurN,0
DAL,2,home,SunE,0
DAL,2,home,SunL,0
DAL,2,home,SunN,0
CHI,2,home,ThurN,1
CHI,2,home,SunE,1
CHI,2,home,SunL,1
CHI,2,home,SunN,1
CHI,2,home,MonN1,1
DET,2,home,SunE,0
DET,2,home,SunL,0
DET,2,home,SunN,0
DET,2,home,MonN1,0
NO,2,home,ThurN,0
STL,2,home,ThurN,0
STL,2,home,SunE,0
STL,2,home,SunL,0
STL,2,home,SunN,0
STL,2,home,MonN1,0
SF,2,home,ThurN,0
SF,2,home,SunE,0
SF,2,home,SunL,0
SF,2,home,SunN,0
SF,2,home,MonN1,0
MIA,2,home,ThurN,0
MIA,2,home,SunE,0
MIA,2,home,SunL,0
MIA,2,home,SunN,0
MIA,2,home,MonN1,0
PIT,2,home,ThurN,0
HOU,2,home,ThurN,0
HOU,2,home,SunE,0
HOU,2,home,SunL,0
HOU,2,home,SunN,0
HOU,2,home,MonN1,0
DEN,2,home,SunE,0
DEN,2,home,SunL,0
DEN,2,home,SunN,0
DAL,3,home,MonN1,0
PHI,3,home,SunE,0
PHI,3,home,SunL,0
PHI,3,home,SunN,0
PHI,3,home,MonN1,0
DET,3,home,SunE,0
DET,3,home,SunL,0
DET,3,home,SunN,0
ATL,3,home,ThurN,1
ATL,3,home,SunE,1
ATL,3,home,SunL,1
ATL,3,home,SunN,1
ATL,3,home,MonN1,1
SEA,3,home,MonN1,0
MIA,3,away,ThurN,0
MIA,3,away,SunE,0
MIA,3,away,SunL,0
MIA,3,away,SunN,0
MIA,3,away,MonN1,0
NYJ,3,away,ThurN,0
NYJ,3,away,SunE,0
NYJ,3,away,SunL,0
NYJ,3,away,SunN,0
NYJ,3,away,MonN1,0
BAL,3,away,MonN1,0
CIN,3,away,ThurN,0
CIN,3,away,SunE,0
CIN,3,away,SunL,0
CIN,3,away,SunN,0
PIT,3,away,MonN1,0
IND,3,home,ThurN,0
IND,3,home,SunE,0
IND,3,home,SunL,0
IND,3,home,SunN,0
IND,3,home,MonN1,0
KC,3,home,ThurN,0
KC,3,home,SunE,0
KC,3,home,SunL,0
KC,3,home,SunN,0
OAK,3,home,ThurN,0
OAK,3,home,SunE,0
OAK,3,home,SunL,0
OAK,3,home,SunN,0
SD,3,home,ThurN,0
SD,3,home,SunE,0
