DAL,100
NE,78
PIT,74
GB,60
SF,50
CHI,47
NO,46
NYG,44
SEA,44
DEN,44
PHI,34
OAK,31
BAL,25
IND,22
NYJ,22
HOU,21
MIA,21
DET,19
MIN,18
WAS,18
ATL,18
SD,16
CAR,16
KC,12
CLE,10
CIN,8
ARI,7
TB,5
TEN,4
BUF,4
STL,2
JAX,1
BYE,0
